job_id,metadata,job_description,metadata_len
2769482147,"['Lead Data Scientist/AI Role in VC Backed Startup', 'Soho', 'Singapore, Singapore', 'On-site', '3 weeks ago', '4 applicants', 'Full-time', '11-50 employees', 'See recent hiring trends for Soho Property App. Try Premium for free', 'Actively recruiting', 'Apply now', 'Save', 'Save Lead Data Scientist/AI Role in VC Backed Startup at Soho']","Posted by
Jonathan Lui
Founder Soho - Sohoapp.com | Founder Airtasker.com | Founder Tachyon.studio
Send InMail
Soho is a real estate platform where we help you find your perfect ""Property match"" by allowing you to swipe properties you're interested in or those you are not interested in. We use your preferences and your interactions with properties you like to improve the suggestions provided to you via a tinder-like matching feature, as well as optimising your search results if you are looking for properties using our search feature.

We are a free to use platform that is unlocking a massive amount of data around the popularity of a property, based on the way users rank and interact with properties on Soho. Already with over 400,000 users browsing through over 100,000 properties on the platform each month, Soho is growing rapidly and being built by an experienced team who have founded and exited tech startups before such as Airtasker (IPO) and Tank Stream Ventures.

As the company's Data Scientist Lead:

This will be a fast-paced and collaborative role where you will work closely with the product, development, and business teams. You will be productising the data within our business both to create improved application algorithms as well as preparing the data for external consumption by third party clients. The data tools we use are include Google BigQuery, Postgres DB, SQL, AWS AI suite (e.g. rekognition), Algolia AI, Mode.com and several analytics/reporting tools.

Responsibilities

- Play a lead role in the rollout/management of any machine learning tools, modelling and data engineering planning with our development team
- Identify opportunities to leverage and productise the company’s data, and lead execution of data projects.
- Identify areas to improve data quality and be able to create pipelines or manipulate data.
- Build processes to extract, transform, and analyse data using a various tools especially SQL.
- Ad hoc analysis of data to support business decision making.
- Data visualisation using variety of tools e.g. MS Excel or mode.com to communicate Soho’s data to both internal (team) and external (clients/partners) audiences
- Take ownership of reporting/monitoring business metrics by setting up dashboards.
- Work with other teams (marketing, design, engineering) to drive overall business metrics

About You

You are an ideal candidate if you have the following skills:

- Computer science or Engineering degree is required
- Knowledge of SQL is a must, for data transformations and analysis.
- Experience with various data/storage formats (CSV, XML, Excel, relational databases)
- Previous experience with ML based products and data engineering is essential
- Experience in working with recommendation engines is a plus
- Attention to detail and thoroughness in reviewing data quality.
- Be able to effectively communicate data and insights in various visual formats, like charts, graphs, histograms, etc.
- Be able to work productively and autonomously in a fast-paced environment.
- Knowledge or experience in quantitative modeling and statistical approaches to data (e.g. statistic regression, predictive modeling, recommendation engines etc.).
- Knowledge or experience with engineering will be an advantage.

DO NOT CONTACT IF YOU ARE A RECRUITER",13
2773097955,"['Data Scientist', 'Synthesis', 'Singapore, Singapore', 'Hybrid', '2 weeks ago', '14 applicants', 'Full-time', '51-200 employees', 'See how you compare to 14 applicants. Try Premium for free', 'Apply', 'Save', 'Save Data Scientist at Synthesis']","Posted by
Harriet ROBERTSON
Founder at Synthesis
Send InMail
 I Synthesis are looking for creative data scientists to join our team in Singapore. 

APPLY VIA: https://forms.gle/9kyAzWq1B2AKAhsQ7

We are a team of brand strategists, computer scientists, ethnographers, economists and network theorists. We work with some of the most influential consumer goods companies in Media, Beauty, Fashion, Sports and Travel to build culturally informed, data science-led tools that transform unstructured data into analytical models that solve their business and marketing challenges.

Partnering with the world’s most successful brands in fashion, beauty, content and travel, we’re building specialised solutions to solve problems of planning for the future. Rooted in culture, tested in data science, we spot and anticipate changes and connections in culture to inspire action and help brands grow with a new wave of audiences. After three years of iteratively developing and perfecting these models, we are preparing to launch a series of products over the next 5 years.  

We will be at the forefront of a shift towards leveraging open data to develop rich, honest, human insight. In an industry that has for too long relied on ‘question-response’ approach to understanding changes in behaviour, we prioritise layering behavioural, performative, search and sales data to highlight the discrepancies between what people say they do and what they actually do. We see a $20 billion industry that has failed to innovate for too long and we are just getting started.

This job is for you if...
You are currently Singapore based and are a Singaporean Citizen or PR
You relish the idea of working with data creatively to solve real world business problems
You have 0-3 years experience working with data, and coding experience in R/Python
You are comfortable with uncertainty and open ended challenges
You enjoy working in a fast paced, highly collaborative environment

APPLY VIA: https://forms.gle/9kyAzWq1B2AKAhsQ7

 I THE ROLE.
As a Data Scientist at Synthesis you’ll develop models and analytical frameworks designed for the sharpest insights and marketing professionals in the world, helping them prioritise the issues that matter most to their business and spot where the next big change will come from. We aggregate information from open data sources, advocating for the power of data to solve problems for business and for society as a whole, which means you will be running end-to-end analysis guiding the process from data gathering and cleaning through to processing, modelling and visualisation.

You’ll become an expert in layering datasets to build a complete picture of people’s behaviour, working with search, social, advertising & ecommerce datastreams to name just a few. Ours is a spirit of continuous experimentation and plussing: you’ll always be pushing your ideas in collaboration with a team of experienced data scientists around you. We work in tight-knit project teams, meaning you’ll work side by side with cultural strategists to interpret meaning in the data patterns we see and present your work to our client partners, so you see first-hand the impact your work has.

Requirements
You have a solid understanding of statistical analysis and hands-on experience with one or more of the following programming languages: Java, Python or R.
You have experience in building data visualizations using off the shelf software or packages with R, Python, Gephi, Tableau etc. Familiarity with quick prototyping techniques for data viz work is an advantage.
You are comfortable working with large, complex, unstructured datasets, with a focus on text and image-processing. Natural language processing skills, including topic modelling and semantic parsing, especially for Asian languages and short texts, will be an advantage.
You’re able to communicate your analysis in simple, non-technical terms and relish the prospect of working alongside a team of strategy consultants to move from analysis to implication for business.
You enjoy iteratively developing your ideas, drawing on the value of the diverse experience and perspectives of those around you. You recognise the value of having an array of approaches at your disposal rather than focusing solely on one methodology or model.

APPLY VIA: https://forms.gle/9kyAzWq1B2AKAhsQ7",12
2769748472,"['Risk Consulting, Forensic Services (Financial Crime Unit), Senior Associate – Data Scientist', 'PwC Singapore', 'Singapore, Singapore', '2 weeks ago', '3 applicants', 'Full-time · Associate', '1,001-5,000 employees · Accounting', 'See how you compare to 3 applicants. Try Premium for free', 'Actively recruiting', 'Apply', 'Save', 'Save Risk Consulting, Forensic Services (Financial Crime Unit), Senior Associate – Data Scientist at PwC Singapore']","Line of Service

Advisory

Industry/Sector

FS X-Sector

Specialism

Fraud, Investigations & Regulatory Enforcement (FIRE)

Management Level

Senior Associate

Job Description & Summary

Financial Crime has become a major issue for all financial services organisations as well as many others caught up in its scope. The compliance focus and the associated costs are substantial, and at all levels the penalties for failure have become ever more significant.

PwC's Financial Crimes Unit (FCU) is structured to reflect the multidisciplinary financial crime task forces established by major financial institutions and government agencies. Globally, we are comprised of more than 3000 professionals in anti-money laundering, cybersecurity, sanctions, fraud and anti-bribery/corruption. We offer the full breadth of PwC’s technology, regulatory and investigative experience from its financial services and forensics advisory groups. The FCU advises the largest global and US institutions across the banking, capital markets, asset management and insurance industries. We work with clients to provide innovative and advanced solutions for responding to Financial Crime incidents, remediating past deficiencies, developing enhanced operating models, and optimising transaction monitoring systems.

We pride ourselves on our strong supportive team culture and diverse mix of backgrounds. We also strongly believe in the importance of potential and desire to learn. As such it is important to us that you fit well within our team, have a strong desire to learn, develop your own skills and also support and coach others.

In return for joining our team, you will gain exposure to a wide range of industry clients, and be rewarded with a career built on a variety of experiences, and the opportunity for senior leadership development within our firm. We will also provide you the opportunity to develop a global network of contacts across PwC who will support you in your growth as a leader, consultant and analytics professional.

Responsibilities

As part of the Financial Crime Unit’s expansion plan across South East Asia Consulting, we are actively hiring different levels of talent to join us in working with our top tier clients on various Forensic and Financial Crime related engagements.

We have opportunities for professionals with a wide range of experience and want to hear from people with between 2-5 years’ experience in this field. Your experience may have been gained within a Banking or Consultancy or an alternate industry and should include elements as described below (don’t be discouraged if you don’t possess all or even most of them, we would still like to talk to you about joining our team if you have some applicable professional experience).

About The Role
2-5 years of relevant experience in data science and analytics with the financial services industry (banking, insurance, asset management, fin-tech)
Familiarity with SQL, R, Python, PySpark and knowledge of machine learning libraries would be useful (pandas, mlib)
Knowledge of machine learning toolkits such as H2O, TensorFlow, KubeFlow
Understanding of the various algorithms for unsupervised, supervised, ensemble and re-inforcement learning would be useful and the ability to discern why.
A good grasp of statistics, such as clustering, segmentation, regression, standard deviations, r-squared, moving averages techniques, various sampling techniques, boosting learning labels
Familiarity with reporting tools such as PowerBI, Tableau, Klik would be useful as well as strong Excel skills
Data preparation skills, one-hot encoding, pipelining, data quality improvement techniques, data lineage, removing noise, feature relevance
Supporting development, testing and deployment of system initiatives
A desire and ability to think abstractly, solve problems proactively and deal with ambiguity
The agility to adapt and apply new and varied analytical solutions to client opportunities that may arise
A passion to work collaboratively with diverse, international teams
Enthusiasm and drive to be a leader in our team, helping shape and develop its future
Strong communication, presentation, project management and time management skills
Desirable Experience
Financial Crime background at a bank, consulting firm, fin-tech/reg-tech, insurer etc, covering Fraud, Sanctions and/or Transaction Monitoring
Experience with model validation and tuning (reducing false positives) for transaction monitoring, banking & payment/insurance fraud and/ screening systems (sanctions, watchlists, adverse media, name)
Rules design for transaction monitoring, fraud or sanctions
ML feature engineering for transaction monitoring, fraud or sanctions
Providing data analysis and project governance expertise to support delivery including, writing reports and technical specifications
About You
University degree in a related discipline (e.g. Computer Science, Mathematical Science, Financial Engineering, Actuarial, Statistics etc.)
Practical experience with using machine learning techniques in an industry, with programming skills
Analytical and independent thinker with strong English written and verbal communication skills
Willingness to travel around the region for an extended period (subject to Covid rules)
Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Optional Skills

Required Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

Yes

Government Clearance Required?

No

Job Posting End Date",12
2762819371,"['Data Scientist (Assistant Manager, 1 Year Contract)', 'Singapore University of Social Sciences (SUSS)', 'Singapore, Singapore', '3 weeks ago', '2 applicants', 'Contract · Mid-Senior level', '501-1,000 employees · Higher Education', 'See recent hiring trends for Singapore University of Social Sciences (SUSS). Try Premium for free', 'Actively recruiting', 'Apply', 'Save', 'Save Data Scientist (Assistant Manager, 1 Year Contract) at Singapore University of Social Sciences (SUSS)']","Job Description
An exciting opportunity has arisen for an early to mid-career researcher to develop and implement data science solutions for adaptive learning systems and web applications to join the Teaching & Learning Centre (TLC). This position will initially be offered on a one-year contract.

TLC promotes excellence in teaching and learning through the design and implementation of innovative pedagogies; facilitation of Faculty development and training; scholarship of teaching & learning; and provides academic support for students whilst developing lifelong learning attributes in our graduates.

As Senior/Research Associate, you will be proactive and crucial to the successful development and implementation of adaptive learning systems and web applications to augment the quality of teaching and learning within the university. You will be responsible for data, modelling and research tasks related to educational data mining. These include data extraction and wrangling, and building relevant (e.g., machine learning) models for the system. With guidance and assistance from colleagues, you will also contribute to reports and publications to communicate success/progress of development works.

Job Requirements
Qualifications relevant to data science and experience in data analytics.
Interpret data and provide insights on the performance of our programmes.
Competency with the Python programming language is a must.
Experience with deployment of machine learning models in production environment is a plus.
Experience with deploying applications on the AWS platform is desirable.
Familiarity with developing web applications is a plus.
Strong communication and presentation skills, as well as an analytical mind.
A collaborative and collegial approach to work.",12
2803292382,"['Senior Data Engineer, CardsPal Venture - SC Ventures', 'Standard Chartered Bank', 'Singapore, Singapore', '1 hour ago', '3 applicants', 'Full-time · Associate', '10,001+ employees · Banking', 'See how you compare to 3 applicants. Try Premium for free', 'Actively recruiting', 'Apply', 'Save', 'Save Senior Data Engineer, CardsPal Venture - SC Ventures at Standard Chartered Bank']","About CardsPal by Standard Chartered

CardsPal is a newly formed fintech based in Singapore.

The successful candidate will be the part of a start-up team leading developers to build an innovative platform and app leveraging on data, analytics to drive the business. This is a rare opportunity for a self-driven, strong entrepreneurial spirit, start-up minded, solid and passionate individual to participate and contribute to a venture.

Responsibilities:

The successful candidate will be the part of a start-up data team to build an innovative platform and app leveraging on data, analytics to drive the business. This is a rare opportunity for a self-driven, strong entrepreneurial spirit, start-up minded, solid and passionate individual to participate and contribute to a venture.

Build and improve existing data pipelines
Architect and design data infrastructure on cloud to power the insights needed for data-driven decision-making within organisation
Define data sources and specifications, design and implement processes for complex, large-scale datasets used for interactive dashboard, predictive modelling, recommender system and other advanced analytics purposes.
Work closely with product owners, data analyst and data scientist on data requirements and delivery
Oversee data management and governance to ensure data quality and integrity
Stay abreast of industry trends and deliver successful dara solutions by leveraging best practices
Requirements:

Background in Software Engineering, Information Technology, Business Analytics, Data Science, Computing or related quantitative discipline.
At least 2 years of working experience as a data engineer or similar role.
Experience with cloud technology (Eg: AWS, GCP, Azure and etc)
Proficient in AWS cloud technology stacks is a plus
Experience in both SQL and NoSQL databases
Proficient in creating ETL pipelines and good experience in data warehouses and data lakes.
Methodical, process oriented, organised and proactive self-starter
Able to work well within a team with diverse personalities
Able to multi-task, quick to adapt and able to work in fast paced environment. Having worked in an agile environment is a plus.
Good written and spoken communication, presentation and negotiation skills",12
2797280134,"['Senior Data Scientist', 'Manthrasoft Software Services', 'Singapore, Singapore', 'On-site', '2 hours ago', '1 applicant', 'Full-time', '11-50 employees', 'Krishna Manthra is hiring for this job', 'See recent hiring trends for Manthrasoft Software Services. Try Premium for free', 'Apply now', 'Save', 'Save Senior Data Scientist at Manthrasoft Software Services']","Posted by
Krishna Manthra
Vice President at Manthra Software Services
Send InMail
Only for Singaporeans/ Singapore PR/ Expats in Singapore
Job Description: Senior Data Scientist

Responsibilities :

● Analyze requirements and deliver solution that meets the requirements
● Write code by using best software development practices, for ex. PEP8, Jewel
Developer Best Practices
● Write clear & concise documentation for solutions/code
● Produce code that meets security standards as per Jewel policy (Pay-ology,
OWASP, PCI-DSS, etc.)
● Estimate timelines and deliver solutions within agreed timeline
● Continuously improve knowledge on new technologies
● Work with Products, Business, Engineering, Platform and Devops teams for end-to
End development of AI solutions
● Train junior data scientists and interns

Requirements :

● BSc or MSc in Computer Science, Engineering, Artificial Intelligence, Mathematics,
or any related quantitative discipline. Equivalent experience will also be considered.
● 5 or more years of relevant work experience
● Strong experience and solid basic of Python, Flask, Django, Celery
● Proficiency in database engineering and design, for both SQL and NoSQL databases
● Proficient in Scikit-learn, scipy, pandas, matplotlib
● Proficient in machine learning methodologies such as classifiers, clustering methods,
topic models, word embedding, anomaly detection algorithms, graph-based
algorithms
● Knowledge in deep learning methodologies such as Autoencoder, neural networks,
convolutional neural networks, recurrent neural networks, transformer models (such
as BERT)
● Having knowledge in the following is a PLUS: Apache, Nginx, AWS, Alicloud,
Microservices, Distributed Computing Concepts
● Good knowledge in HTML5, CSS, Javascript
● Additional advantage with proficiency in natural language processing",13
2780718514,"['Data Scientist', 'Eames Consulting', 'Singapore, Singapore', 'Hybrid', '1 week ago', '18 applicants', 'Full-time · Associate', '51-200 employees · Staffing & Recruiting', 'See recent hiring trends for Eames Consulting. Try Premium for free', 'Actively recruiting', 'Apply now', 'Save', 'Save Data Scientist at Eames Consulting']","Eames Consulting is partnered with a leading insurance provider in Singapore to look for a Data Scientist. You will be part of the data science team who work very closely with business and have successfully delivered machine learning campaigns and also forayed into predictive modeling in health analytics

Responsibilities
Analyze, develop and deploy machine learning and optimization models
Assess the effectiveness and accuracy of data sources and data gathering techniques
Develop A/B testing frameworks for testing business hypothesis and testing model quality.
Work with stakeholders to identify opportunities to leverage on data to drive business solutions.

You will need to have
At least 2 years experience in analytics role.
Experience in statistical modeling, machine learning, data mining, unstructured data analytics
Familiarity with relational databases and Hadoop infrastructure
Experience in programming skills such as Python, R
Experience using business intelligence tools such as Tableau
Experience of a variety of machine learning techniques",13
2785949146,"['Senior Data Scientist', 'WRS - Worldwide Recruitment Solutions', 'Singapore, Singapore', 'On-site', '1 week ago', '10 applicants', 'Full-time · Executive', '51-200 employees · Staffing & Recruiting', 'See recent hiring trends for WRS - Worldwide Recruitment Solutions. Try Premium for free', 'Actively recruiting', 'Apply now', 'Save', 'Save Senior Data Scientist at WRS - Worldwide Recruitment Solutions']","Posted by
Bernice Neo
Recruitment Consultant at WRS - Worldwide Recruitment Solutions
Send InMail
WRS Technology are assisting a growing Data Science R&D team seek an experienced Data Scientist. If you have a superb track record of using data science and/or machine learning and an interest in building a sustainability-minded Data Science function, then this role could be for you.

Responsibilities:
As a Senior Data Scientist, you will have full ownership of Data Research and you are responsible for helping to lead a growing R&D / Lab function and the application of analytics, data science and machine learning techniques.

The Data Scientist's responsibility is to lead the continuous development of advanced analytics and machine learning capabilities.
Participate in all the programs, supporting their continuous development needs in data analysis, software development, digital solutions or mathematical modelling;
Designing and managing advanced analytics and data science solutions.
For example: continuously improving data science platforms, including for forecasting and real-time analytics.
Optimisation of algorithms to operate and manage distributed energy assets (real time).
Build, validate and update complex data science models.
Manage and test machine learning methods, processes, and techniques.

Requirements:
Post-grad education (PhD) preferred with education in Quantitative subject, AI, Machine Leaning, or Data Science.
At least 5 years working experience in related fields
Experience of managing data science and analysis within a data-intensive environment. (energy, tech, finance desirable).
Strong problem-understanding and problem-solving skills.
Demonstrated ability to work with large volumes of data.
Excellent understanding and ongoing learning of Data Science and Machine Learning frameworks, tools and algorithms, both for regression and classification problems (Python, Java and MatLab highly desirable).

Company EA Licence: 15C7589
Reg No: R21101394",13
2787215554,"['Senior Data Scientist (NLP Expert)', 'Holmusk', 'Singapore', 'Remote', '1 week ago', '5 applicants', 'Full-time · Mid-Senior level', '51-200 employees · Hospital & Health Care', 'See how you compare to 5 applicants. Try Premium for free', 'Actively recruiting', 'Apply', 'Save', 'Save Senior Data Scientist (NLP Expert) at Holmusk']","Holmusk is building the largest Real-World Evidence platform, starting with behavioral health. Combining a leading behavioral health database with AI-powered analytics and digital solutions, we are advancing the frontier of evidence generation and fueling innovation.

At Holmusk, we have the privilege of collaborating with internationally renowned psychiatrists/ specialists in behavioral health. We collaborate with established pharmaceutical companies and clinical institutions primarily on behavioral health. We take pride in our diverse workforce and inclusive culture. We believe it takes all kinds of people to build the best products and bring real change to the healthcare space.

Whom are we looking for
We are looking for an AI expert for the Senior Data Scientist-II position based in Singapore. The SDS-II will serve as the in-house expert for AI algorithms applied to healthcare problems and would be responsible for driving the custom AI projects/solutions for clients and Holmusk’s products. If this description excites you, come join a diverse and collaborative team of engineers, designers, data scientists, health and business professionals who are passionate about improving healthcare.

What is in it for you
Opportunity to collaborate with leading SME-s from Mental Health space globally including the US, UK, SG and PRC Opportunity to work in a collaborative environment that encourages creativity
Publish research findings in international peer reviewed journals
Make major impact on the behavioral health space globally
Flexible work schedules

Responsibilities
Communicate effectively with client to understand client requirements, frame the problem within data science framework and develop a roadmap to execution
Ideate integration of NLP components within Holmusk products and services and lead the development and execution of ideas into scalable, deployable modules
Oversee project management and communicate project updates effectively to higher authorities
Acquire domain knowledge on behavioral health to be able to communicate with subject matter experts confidently
Supervise development of manuscripts to report project insights
Articulate the unique value propositions of Holmusk and explain the novelty of Holmusk methodology/ products to clients/ KOLs
Develop proposals for clients within timeline, FTE requirements, etc.
 Requirements
PhD in Computer Science, Engineering, Physics, Statistics, Applied Mathematics, Bioengineering, Bioinformatics or related fields
Proven track record of publications in NLP related work
Prior experience in driving NLP based projects
Have deep knowledge of NLP concepts including but not limited to –
Language models like BERT, XLNet, StructBERT etc.
Recurrent Networks, LSTM/ GRU-s, Attention Mechanisms, Transformers, Encoder-Decoder architectures, Siamese Networks
NLP metrics e.g., the BLEU score, Rouge scores, Triplet loss etc.
New models like Reformers, Longformers
Probabilistic NLP algorithms
Experience in developing NLP models to extract information from unstructured texts
Experience in model development and analysis using Scikit-learn, Pandas, Numpy, Tensorflow 2.0 and PyTorch
Knowledge of relational databases and SQL
Have familiarity with basic AWS facilities
Excellent communication, interpersonal relationship skills and a strong team player
 Other skillsets that are not mandatory but will be an added advantage
Prior experience in ML model deployment / containerization / MLOps on AWS
Multiprocessing (Celery/ Dask/ PySpark)
Automatic hyperparameter optimization (Keras Tuner/ Hyperopt etc)

At Holmusk we take pride in our diverse workforce and inclusive culture. We believe it takes all kinds of people to build the best products and bring real change to the healthcare space.",13
2755598679,"['Data Scientist', 'CARRO', 'Singapore, Singapore', '4 weeks ago', '10 applicants', 'Full-time · Executive', '201-500 employees · Automotive', 'See how you compare to 10 applicants. Try Premium for free', 'Actively recruiting', 'Apply', 'Save', 'Save Data Scientist at CARRO']","Singapore's No 1 fastest-growing company in 2021 is looking for an experienced data scientist to start and lead our data science efforts. Do you love sifting through data troves to find gems to analyze? Read on! We’re looking for a data scientist to help us to dice and mince the big data into trends and analytics. This is a hands-on role, but you’ll have full autonomy in choosing the toolkit and approach you want to apply to achieve data objectively. You will have ownership over important project areas that include defining the roadmap of data science. You will work with our structured and unstructured data to find a pattern/trend of how our users are using the product and present these insight reports to the business stakeholders. You have a sharp mind and a hands-on approach when it comes to tackling technical challenges.



What you will be doing:

Exploring and visualizing large datasets to drive insights
Fluid at extracting and transforming data from systems.
Fluid at practical data mining techniques (pattern detection, predictive modeling, anomaly detection, and optimization) to identify areas of improvement for business/product
Identify and highlight areas of opportunities to help business/product owners optimize existing or new business opportunities/processes
Applying machine learning techniques for a variety of modeling and relevance problems
Assist with developing strategies and managing operational metrics for various projects



What you will need:

Master or Bachelor in Computer Science, Statistics, Industrial Engineering, Mathematics, Economics or quantitative discipline
At least 2 years of hands-on experience in a Data Science role with exposure and proficiency in quantitative and statistical analysis, predictive analytics, multivariate testing, and algorithm optimization for machine learning. Commercial experience is highly desirable.
Strong knowledge in big data ETL processes, data, and data exploration algorithms
Strong working knowledge of data science algorithms including decision trees, probability networks, association rules, clustering, regression, and neural networks
Fluid in programming skills (MySQL, SQL, Python, R, or similar)
Fluid in a variety of visualization tools
Broad-minded with attention to detail and strong business acumens and insights
Excellent communication skills (oral, written, and presentation skills) to work with various stakeholders (technical and non-technical) including presentation of insights reports to business/product owners
Experience working with a product-based organization, e-commerce, automotive is advantageous",12
